operator,Marsanes,Marcus,Greek_theory,Sefer_Yetzirah,Enochian,interpretive_result
CLASSIFY,1,1,1,1,0.5,"Widespread; not a Marsanes novelty"
COMBINE,1,1,1,1,1,"Widespread combinatorics"
OPERATIVE_PRONUNCIATION,1,1,1,0.5,1,"Not unique"
BEAT_OR_RHYTHM,1,0,1,0,0,"Ordinary technical control exists; sacred integration remains relevant"
PITCH,1,0,1,0,0,"Ordinary technical control exists"
SILENCE,1,0,0.5,0,0,"Partial controls; exact Marsanes function unresolved"
HORME_IMPULSE,1,0,0.5,0,0,"Residual term requiring philological audit"
SEMIVOWEL_RECRUITMENT,1,0,0,0,0,"Highest-value residual feature"
MANY_TO_ONE_SOUND,1,1,0,0,0,"Predates Marsanes in Marcus"
SACRED_NOMENCLATURE,1,1,0,1,1,"Generic sacred-language architecture"
