source_id,source_type,reference,status,notes
SRC-SO-BETZ-I1,TRANSLATION_MIRROR,"Betz, PGM I.1-42; Studylib/Spiritus Mundi mirror","USED","Vowel staircase; speak directly to bird after sacrifice"
SRC-SO-BETZ-I42,TRANSLATION_MIRROR,"Betz, PGM I.42-195; Spiritus Mundi/Yumpu mirror","USED","Dismissal includes barefoot backward walking"
SRC-SO-PGMI222,CRITICAL_COMMENTARY,"PGM I.222-231 commentary in Ancient Magic and Ritual Power / NYU PDF","USED","Greek 'say to Helios'; commentary supports directional reading"
SRC-SO-MEMORY,SCHOLARLY_SECONDARY,"Women and Gender in Ancient Religions discussion of PGM I.232-247","USED_WITH_CAUTION","Facing moon/prostration summary; not direct translation in this pass"
SRC-SO-PGMII1,TRANSLATION_MIRROR,"Betz, PGM II.1-64; Studylib mirror","USED","Right-side posture and invocation instructions"
SRC-SO-PGMIII1,TRANSLATION_AND_SCHOLARSHIP,"Betz PGM III.1-164; later scholarly quotations","USED","Speak formula while drowning cat"
SRC-SO-PGMIII263,SCHOLARLY_SECONDARY,"Salayova, Aspects of Temporality in Greek Magical Papyri, PGM III.263-275","USED","Finger under tongue before speaking"
SRC-SO-PGMIII282,TRANSLATION_MIRROR,"PGM III.282-409 translation excerpts","USED_WITH_CAUTION","Sunrise-oriented recitation stages"
SRC-SO-PGMIII424,TRANSLATION_MIRROR,"Betz PGM III.424-466 quotation","USED","Perform successfully and silently"
SRC-SO-PGMIII479,PRIMARY_GREEK_SECONDARY_EDITION,"Greek text of PGM III.479-483 in Valladolid thesis","USED","Directional phrase into height of heavenly circle"
SRC-SO-PGMIII612,TRANSLATION_MIRROR,"Betz PGM III.612-632 translation mirror","USED","Prostrate, extend hands, utter formula"
SRC-SO-PGMIV88,TRANSLATION_MIRROR,"Betz PGM IV.88-93; Studylib mirror","USED","Clap/ringing noise; boy opposite sun"
SRC-SO-PGMIV154,SECONDARY_TRANSLATION,"Via Serpentis rendering of PGM IV.154-285","USED_WITH_CAUTION","Three recitations and fixed posture; excluded in strict sensitivity"
SRC-SO-PGMIV286,TRANSLATION_SECONDARY,"PGM IV.286-295 plant-picking incantation translation","USED","Face Sun while speaking and picking"
SRC-SO-PGMIV296,TRANSLATION_AND_SCHOLARSHIP,"Betz PGM IV.296-466; Coptic Magical Papyri / Chicago discussion","USED","Thirteen piercings with formula each time"
SRC-SO-PGMIV850,TRANSLATION_MIRROR,"Betz PGM IV.850-929 translation mirror","USED","Seven repetitions into ear; repeated awakening; barking"
SRC-SO-PGMIV930,TRANSLATION_MIRROR,"Betz PGM IV.930-1114 translation mirror","USED","Dismissal three times with eyes closed and gestures"
SRC-SO-PGMIV1331,SCHOLARLY_SECONDARY,"Study quoting PGM IV.1331-1389 Bear spell","USED_WITH_CAUTION","Say aloud while grasping onion"
