source_id,source_type,reference,url_or_locator,status,notes
SRC-NYU-PGMVII619,PRIMARY_GREEK_PLUS_TRANSLATION,"PGM VII.619-627, NYU ISAW critical commentary/translation","https://mc.dlib.nyu.edu/files/books/isaw_asp000047/isaw_asp000047_lo.pdf",USED,"Exact Diadem formula and dual-use instruction"
SRC-BETZ-PDF,PRIMARY_TRANSLATION,"Betz et al., Greek Magical Papyri in Translation, PGM VII.201-221","Betz translation PDF mirrors",USED,"Migraine amulet; SABAOTH fever spell"
SRC-ECL-I,PRIMARY_TRANSLATION_MIRROR,"Ecloga Ex Papyris Magicis Liber I; Betz-derived selections","https://hermetic.com/pgm/ecloga-i",USED,"PGM LXIX.1-3 and PGM XII.182-189"
SRC-BETZ-LXXIX,PRIMARY_TRANSLATION,"Betz et al., PGM LXXIX-LXXX","Betz translation PDF mirrors",USED,"Same anger-restraint charm in two scribal witnesses"
SRC-BAS-PGMVII218,PRIMARY_TRANSLATION_EXCERPT,"PGM VII.218-221 fever/shivering amulet","Biblical Archaeology Society excerpt from Betz",USED,"Written SABAOTH-bearing fever amulet"
SRC-BETZ-PGMIII,PRIMARY_TRANSLATION,"Betz et al., PGM III.1-164","Betz translation PDF mirrors",USED,"Cat/angel conjuration; repeated magical names"
SRC-YUMPU-XII270,PRIMARY_TRANSLATION_MIRROR,"Betz et al., PGM XII.270-350","Yumpu mirror of Betz translation",USED,"Sun-facing stone consecration; repeated daily recitation"
SRC-HERMETIC-PGMV,PRIMARY_TRANSLATION_MIRROR,"PGM V.24-30 pronunciation instructions","https://hermetic.com/pgm/ecloga-ii",USED,"IAO directional pronunciation"
SRC-ECL-III,PRIMARY_TRANSLATION_MIRROR,"PGM VII.619-651, 969-972","https://hermetic.com/pgm/ecloga-iii",USED,"Diadem, cup-compulsion, love-potion contexts"
SRC-PGMIV-LIGHT,PRIMARY_TRANSLATION_PLUS_SECONDARY_QUOTE,"PGM IV.930-1114 light-retaining spell","Betz translation; corroborated in modern scholarly/practitioner quotations",USED,"Ablanathanalba/Akrammachamarei/Sesengenbarpharanges in revelation context"
SRC-BETZ-VIII-PDF,PRIMARY_TRANSLATION,"PGM VII.1009-1026 in Betz PDF","Betz translation PDF",USED,"Victory invocation with Akrammachamarei"
SRC-PEARSE-MITHRAS,SECONDARY_QUOTING_BETZ,"PGM III.99-104 exact repeated formula","https://www.roger-pearse.com/weblog/2011/04/28/mithras-in-the-greek-magical-papyri/",USED_WITH_CAUTION,"Used for second DAMNAMENEU occurrence pending direct PDF line audit"
SRC-RICKLEFS,SCHOLARLY_SECONDARY,"Ricklefs, Magic, religion and the conversion of Egypt to Christianity","Macquarie open-access PDF",USED_WITH_CAUTION,"Michael in PGM IV.1-25; exclude from strict analysis until direct source audit"
