row_id,source,function_label,SERIES,REPEAT,GROUP,TWO_SOUND,COMBINE,SUBSTITUTE,ARTICULATE,PERFORMANCE,SILENCE,REVEAL,TOKEN,VERIFY,BOUNDARY,ASCEND,DESCEND,PROJECT,INHABIT,evidence_status,notes
F01,Marsanes,FORMATION,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIMARY_TEXT,"Self-begotten seven-vowel series"
F02,Marsanes,FORMATION,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIMARY_TEXT,"Second schema; five-vowel/two-sound-linked"
F03,Marsanes,FORMATION,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIMARY_TEXT,"Male third shape; triplication"
F04,Marsanes,FORMATION,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,PRIMARY_TEXT,"Angelic nomenclature; consonant-vowel combination"
F05,TrimorphicProtennoia,MANIFEST,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,PRIMARY_TEXT,"Thought -> Voice/Speech/Word -> manifestation"
F06,TrimorphicProtennoia,REVELATION,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,PRIMARY_TEXT,"Voice/Word -> revelation/knowledge"
F07,ThreeSteles,REVELATION,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,PRIMARY_TEXT,"Command/word -> seeing/knowledge/salvation"
F08,ThreeSteles,PASSAGE,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,PRIMARY_TEXT,"Blessing -> silence -> ascent"
F09,Allogenes,MANIFEST,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,PRIMARY_TEXT,"Source -> Existence/Vitality manifestation"
F10,Allogenes,PASSAGE,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,PRIMARY_TEXT,"Silence/knowledge -> ascent toward Unknown One"
F11,Discourse89,REVELATION,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,PRIMARY_TEXT_TRANSLATION,"Sacred sound/instrument imagery -> revelation"
F12,Hekhalot,PASSAGE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRANSLATION_LEVEL,"Seal/name -> guardian pacification -> passage"
F13,PistisSophia,PASSAGE,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,TRANSLATION_LEVEL,"Mystery/name/seal -> passage upward"
F14,BooksOfJeu,PASSAGE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,TRANSLATION_LEVEL,"Seal/name/formula -> guardian withdrawal -> passage"
F15,BruceUntitled,MANIFEST,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,TRANSLATION_LEVEL,"Source -> Voice/Word -> manifestation/gnosis"
F16,PGM_Mithras,PASSAGE,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,CONTROL,"Invocation -> opened heavenly doors -> ascent"
F17,PGM_Exorcism,GENERIC,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,CONTROL,"Formula -> exorcistic effect"
F18,PGM_Love,GENERIC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CONTROL,"Formula/name -> attraction"
F19,PGM_Divination,REVELATION,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,CONTROL,"Formula -> manifestation/vision"
F20,SchoolControl,PEDAGOGICAL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNTHETIC_MATCHED_CONTROL,"Matched ordered vowel paradigm"
F21,SchoolControl,PEDAGOGICAL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNTHETIC_MATCHED_CONTROL,"Matched tripled vowel exercise"
F22,SchoolControl,PEDAGOGICAL,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,SYNTHETIC_MATCHED_CONTROL,"Matched consonant-vowel substitution paradigm"
F23,SchoolControl,PEDAGOGICAL,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNTHETIC_MATCHED_CONTROL,"Matched vowel/diphthong exercise"
