token_family,n,functions,unique_execution_profiles,cmi_bits,qualitative_status
F01_DIADEM_NAMES,2,"PROTECTION_APOTROPAIC:1;CONTROL_SUBJECTION:1",2,1.000000,"A/B QUALIFIES"
F02_ABRASAX,4,"PROTECTION_APOTROPAIC:1;GENERIC_RITUAL_EFFECT:1;CONTROL_SUBJECTION:2",3,1.500000,"A/B QUALIFIES + NULL SUBPAIR"
F03_SABAOTH,4,"PROTECTION_APOTROPAIC:2;CONTROL_SUBJECTION:1;GENERIC_RITUAL_EFFECT:1",3,1.000000,"A/B CANDIDATE"
F04_IAO,5,"REVELATION_VISION:1;PROTECTION_APOTROPAIC:1;CONTROL_SUBJECTION:2;GENERIC_RITUAL_EFFECT:1",3,1.370951,"A/B QUALIFIES"
F05_ADONAI,4,"CONTROL_SUBJECTION:2;PROTECTION_APOTROPAIC:1;GENERIC_RITUAL_EFFECT:1",3,1.000000,"A/B CANDIDATE"
F06_ABLANATHANALBA,4,"CONTROL_SUBJECTION:2;REVELATION_VISION:1;GENERIC_RITUAL_EFFECT:1",2,0.311278,"A/B QUALIFIES"
F07_AKRAMMACHAMAREI,4,"CONTROL_SUBJECTION:1;GENERIC_RITUAL_EFFECT:2;REVELATION_VISION:1",2,0.811278,"A/B CANDIDATE"
F08_SESENGENBARPHARANGES,2,"CONTROL_SUBJECTION:1;REVELATION_VISION:1",1,0.000000,"FUNCTION CHANGES WITHOUT CODED EXECUTION CHANGE"
F09_DAMNAMENEU,3,"CONTROL_SUBJECTION:1;REVELATION_VISION:1;GENERIC_RITUAL_EFFECT:1",2,0.918296,"A/B QUALIFIES"
F10_MICHAEL,2,"CONTROL_SUBJECTION:2",1,0.000000,"NULL/STABILITY FAMILY"
F11_IAO_SABAOTH_ADONAI_ABRASAX,2,"CONTROL_SUBJECTION:2",2,0.000000,"EXECUTION CHANGES WITHOUT FUNCTION CHANGE"
F12_TOTROSIAY_YHWH,2,"ASCENT_PASSAGE:2",2,0.000000,"EXECUTION/MODALITY CHANGES WITHOUT PRIMARY-FUNCTION CHANGE"
