operator,tradition,source,location,original_term_or_form,transliteration_or_pronunciation,action,target,claimed_or_textual_result,evidence_status,confidence,chronology,notes
CLASSIFY,Marsanes,NHC X / Turner translation,"25-31; esp. 30","Greek loan categories: phōnēenta / hēmiphōna / aphōna; Coptic transmission","vowels / semivowels / mutes","classify sound/letter types","letters/sounds","phonological taxonomy used in sacred nomenclature",ATTESTED,high,"late 3rd-early 4th c. Greek original; 4th c. Coptic codex","Technical Greek phonology embedded in mystical discourse"
COMBINE,Marsanes,NHC X / Turner translation,"30-32","prefix/suffix; combine/separate","BAGADAZATHA etc.","combine consonants and vowels into syllabic patterns","vowels + consonants","nomenclature; patterned syllables",ATTESTED,high,"late 3rd-early 4th c.","Do not equate syllable ladders with proper angel names"
BEAT,Marsanes,NHC X 30*,16,"Coptic term glossed as ictus in critical commentary","beat / ictus","apply rhythmic execution","changed consonants","part of operation preceding semivowel summoning",ATTESTED,high,"late 3rd-early 4th c.","Exact ancient performance realization unknown"
PITCH,Marsanes,NHC X 30*,17,"Coptic term glossed as pitch; commentary points to Greek musical vocabulary","pitch","apply pitch contour","changed consonants","part of operation preceding semivowel summoning",ATTESTED,high,"late 3rd-early 4th c.","Exact interval/melody unknown"
SILENCE,Marsanes,NHC X 30*,18,"silence","silence / pause","insert or employ silence","changed consonants","part of operation preceding semivowel summoning",ATTESTED,high,"late 3rd-early 4th c.","Whether pause, silent state, or other execution value remains open"
HORME,Marsanes,NHC X 30*,18,"ὁρμή","hormē; impulse / attack","apply impulse/onset/action","changed consonants","part of operation preceding semivowel summoning",ATTESTED,medium-high,"late 3rd-early 4th c.","Semantic range broader than modern acoustic attack; key v28 philological target"
SEMIVOWEL_RECRUITMENT,Marsanes,NHC X 30*,19-22,"καλεῖν preserved as Greek loan/underlying verb in edition","kalein; call/summon","summon/recruit","semivowels","semivowels subjected to a single sound / one accord",ATTESTED,high,"late 3rd-early 4th c.","Highest-value residual operator"
SACRED_NOMENCLATURE,Marsanes,NHC X 30*,8-15,"ὀνομασία; ἄγγελος","onomasia; angelos","constitute nomenclature / prefix-suffix hidden gods","angelic/divine nomenclature","sound structures participate in sacred naming",ATTESTED,high,"late 3rd-early 4th c.","Textual connection is secure; full name-generation algorithm is not"
NAMED_BEING,Marsanes,NHC X 64*,19-20,"Γαμαλιήλ / Copticized form","Gamaliel","named revealer/presiding figure","spirits","presides over spirits; aids Marsanes",ATTESTED,high,"late 3rd-early 4th c.","Context badly damaged"
CLASSIFY,Marcus/Irenaeus,Irenaeus Against Heresies I.14,"I.14.5","vowels / semi-vowels / mute letters","standard Greek categories","classify alphabetic powers","24 Greek letters","classes mapped to aeonic powers",ATTESTED,high,"2nd c. report preserved by late-2nd-c. Irenaeus","Historically proximate comparator"
