cell_id,vowel_row,consonant_frame,line_anchor,critical_form,proxy_status,visible_component,restored_or_uncertain_component,image_verified
P31-A-B,A,B,31:23,BA,SECURE_VISIBLE,BA,,NO
P31-A-G,A,G,31:23,GA,SECURE_VISIBLE,GA,,NO
P31-A-D,A,D,31:23,DA,RESTORATION_DEPENDENT,D,"D uncertain; A restored",NO
P31-A-Z,A,Z,31:23,ZA,RESTORATION_DEPENDENT,Z,"Z uncertain; A restored",NO
P31-A-TH,A,TH,31:23,THA,RESTORATION_DEPENDENT,,"TH+A restored",NO
P31-E-B,E,B,31:24,BE,SECURE_VISIBLE,BE,,NO
P31-E-G,E,G,31:24,GE,SECURE_VISIBLE,GE,,NO
P31-E-D,E,D,31:24,DE,SECURE_VISIBLE,DE,,NO
P31-E-Z,E,Z,31:24,ZE,RESTORATION_DEPENDENT,Z,"Z uncertain; E restored",NO
P31-E-TH,E,TH,31:24,THE,UNCERTAIN_VISIBLE,THE,"TH/E uncertain",NO
P31-ETA-B,ETA,B,31:24,BETA,RESTORATION_DEPENDENT,,"B+ETA restored",NO
P31-ETA-G,ETA,G,31:24,GETA,RESTORATION_DEPENDENT,,"G+ETA restored",NO
P31-ETA-D,ETA,D,31:24,DETA,RESTORATION_DEPENDENT,,"D+ETA restored",NO
P31-ETA-Z,ETA,Z,31:25,ZETA,SECURE_VISIBLE,ZETA,,NO
P31-ETA-TH,ETA,TH,31:25,THETA,SECURE_VISIBLE,THETA,,NO
P31-I-B,I,B,31:25,BI,RESTORATION_DEPENDENT,B,"B uncertain; I restored",NO
P31-I-G,I,G,31:25,GI,RESTORATION_DEPENDENT,,"G+I restored",NO
P31-I-D,I,D,31:25,DI,RESTORATION_DEPENDENT,,"D+I restored",NO
P31-I-Z,I,Z,31:25,ZI,RESTORATION_DEPENDENT,,"Z+I restored",NO
P31-I-TH,I,TH,31:25,THI,RESTORATION_DEPENDENT,,"TH+I restored",NO
P31-O-B,O,B,31:25,BO,RESTORATION_DEPENDENT,,"B+O restored",NO
P31-O-G,O,G,31:25,GO,RESTORATION_DEPENDENT,,"G+O restored",NO
P31-O-D,O,D,31:26,DO,SECURE_VISIBLE,DO,,NO
P31-O-Z,O,Z,31:26,ZO,SECURE_VISIBLE,ZO,,NO
P31-O-TH,O,TH,31:26,THO,UNCERTAIN_VISIBLE,THO,"final O uncertain",NO
P31-U-B,U,B,31:26,BU,RESTORATION_DEPENDENT,,"B+U restored",NO
P31-U-G,U,G,31:26,GU,RESTORATION_DEPENDENT,,"G+U restored",NO
P31-U-D,U,D,31:26,DU,RESTORATION_DEPENDENT,,"D+U restored",NO
P31-U-Z,U,Z,31:26,ZU,RESTORATION_DEPENDENT,,"Z+U restored",NO
P31-U-TH,U,TH,31:26,THU,RESTORATION_DEPENDENT,,"TH+U restored",NO
P31-W-B,OMEGA,B,31:27,BOMEGA,SECURE_VISIBLE,BOMEGA,,NO
P31-W-G,OMEGA,G,31:27,GOMEGA,SECURE_VISIBLE,GOMEGA,,NO
P31-W-D,OMEGA,D,31:27,DOMEGA,UNCERTAIN_VISIBLE,DOMEGA,"OMEGA uncertain",NO
P31-W-Z,OMEGA,Z,31:27,ZOMEGA,RESTORATION_DEPENDENT,,"Z+OMEGA restored",NO
P31-W-TH,OMEGA,TH,31:27,THOMEGA,RESTORATION_DEPENDENT,,"TH+OMEGA restored",NO
