gate,token,token_role,guardian_or_recipient,response,source_status
G1,TWTRWSYAY_YHWH,right-seal,"Bahabiel / right-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G1,SURIA,left-seal,"Tofhiel / left-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G2,ADRYHRWN_YHWH,right-seal,"Tigriel / right-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G2,AWHZYA,left-seal,"Matpiel / left-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G3,TZWRTQ_YHWH,right-seal,"Shabbarriel / right-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G3,DHABHYURUN,left-seal,"Ratzutziel / left-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G4,ZVUDIEL_YHWH,right-seal,"Pahadiel / right-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G4,MARGEYOIEL,left-seal,"Gevuratiel / left-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G5,TOTARVIEL_YHWH,right-seal,"Tahiel / right-side guardians","accepted; conveyed to next gate","Hekhalot Rabbati ch.19 translation-level"
G5,ZAHPENIRIYA,left-seal,"Uziel / left-side guardians","accepted; conveyed to sixth gate","Hekhalot Rabbati ch.19 translation-level"
G6,ZAHARARIEL,seal-to-Qatzpiel,Qatzpiel,"hostility neutralized; conveyed onward","Hekhalot Rabbati chs.20-21 translation-level"
G6,PAALEI_PEALAV,seal-to-Qatzpiel,Qatzpiel,"hostility neutralized; conveyed onward","Hekhalot Rabbati chs.20-21 translation-level"
G6,BARUNIH,seal-to-Dumiel,Dumiel,"accepted; bearer passes unquestioned","Hekhalot Rabbati ch.21 translation-level"
