hypothesis,prediction_id,prediction,outcome,score,evidence
H18-A_SEMIVOWEL_ACTIVATION,A1,"X30 explicitly contains semivowel summoning",SUPPORTED,1,"X30:19-20: they summon the semivowels"
H18-A_SEMIVOWEL_ACTIVATION,A2,"X31 generation does not require semivowel summoning",SUPPORTED,1,"X31:19-X32:5 gives CV generation without semivowel-summoning verb"
H18-A_SEMIVOWEL_ACTIVATION,A3,"mere taxonomic mention of semivowels elsewhere does not trigger performance",SUPPORTED,1,"X26:27-X27:12 and X30:23-31:18 classify semivowels without beat/pitch/silence/horme"
H18-A_SEMIVOWEL_ACTIVATION,A4,"performance absent in ordinary CV generation",SUPPORTED,1,"X31 generated strings lack the performance bundle"
H18-B_MANY_TO_ONE_UNIFICATION,B1,"X30 culminates in one sound",SUPPORTED,1,"X30:20-22 explicitly says all are hypotassein to one sound"
H18-B_MANY_TO_ONE_UNIFICATION,B2,"X31 produces multiple generated forms rather than one sound",SUPPORTED,1,"bagadazatha / begedezethe / related series remain multiple outputs"
H18-B_MANY_TO_ONE_UNIFICATION,B3,"non-unifying taxonomy/combination lacks performance",SUPPORTED,1,"X26-27 taxonomy and X31 CV generation lack performance vocabulary"
H18-B_MANY_TO_ONE_UNIFICATION,B4,"performance phrase syntactically governs following one-sound process",SUPPORTED,1,"performance list immediately precedes semivowel summoning -> one sound"
H18-C_HIDDEN_POWER_RELATION,C1,"X30 uniquely includes hidden gods adjacent to performance",SUPPORTED,1,"X30:14-18 hidden gods immediately precede instrumental performance phrase"
H18-C_HIDDEN_POWER_RELATION,C2,"X31 generation lacks hidden-power relation",SUPPORTED,1,"X31 generated strings do not invoke hidden gods"
H18-C_HIDDEN_POWER_RELATION,C3,"performance attaches primarily to hidden-power relation rather than following semivowel clause",CONTRADICTED,-1,"forward syntax and v16 collation favor attachment to semivowel summoning/one-sound clause"
H18-D_GENERIC_SACRED_NAMING,D1,"performance co-occurs with sacred nomenclature",SUPPORTED,1,"X30 sits in angelic/divine nomenclature unit"
H18-D_GENERIC_SACRED_NAMING,D2,"comparably sacred naming passages also show execution vocabulary",CONTRADICTED,-1,"X27 nomenclature and X31 generated sacred strings lack beat/pitch/silence/horme"
H18-E_GENERAL_COMPLEXITY,E1,"X30 is more structurally complex than X31",CONTRADICTED,-1,"X31 contains extensive explicit multi-string CV generation and is not obviously less complex"
H18-E_GENERAL_COMPLEXITY,E2,"other highly complex combination passages attract execution vocabulary",CONTRADICTED,-1,"X31 complex generation lacks the bundle"
