token_family,corpus,occurrence_id,source_location,normalized_token,token_type,evidence_status,confidence,primary_function,secondary_function,PERF_BEAT_ICTUS,PERF_PITCH_SPECIFIED,PERF_SILENCE,PERF_ATTACK_ONSET,PERF_BREATH_PATTERN,PERF_ASPIRATION,PERF_PROLONGATION,PERF_REPETITION_COUNT,PERF_HISS,PERF_POP_CLICK,PERF_BELLOW,PERF_GROAN_MOAN,PERF_ANIMAL_TIMBRE,PERF_DIRECTIONAL_PROJECTION,PERF_VOLUME_INTENSITY,PERF_GESTURE_COUPLED,PERF_BODY_POSTURE_COUPLED,REPETITION_N,DURATION_CLASS,notes,source_id
F01_DIADEM_NAMES,Greek Magical Papyri,F01-A,PGM VII.619-627,ARESKILLIOS THOUDALESAI KRAMMASI CHAMMAR MOULABOTH LAUABAR CHOUPHAR PHOR PHORBAO SACHI HARBACH MACHIMASO IAO SABAOTH ADONAI,FORMULA_SEQUENCE,PRIMARY_SECURE,HIGH,PROTECTION_APOTROPAIC,,,,,,,,,,,,,,,,,,,,,Names are recited after rising before speaking to anyone; effect stated as invisibility. Same printed name-sequence is then explicitly reused in the next instruction.,SRC-NYU-PGMVII619
F01_DIADEM_NAMES,Greek Magical Papyri,F01-B,PGM VII.619-627,ARESKILLIOS THOUDALESAI KRAMMASI CHAMMAR MOULABOTH LAUABAR CHOUPHAR PHOR PHORBAO SACHI HARBACH MACHIMASO IAO SABAOTH ADONAI,FORMULA_SEQUENCE,PROCEDURAL_REUSE_EXPLICIT_REFERENCE,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,1,,,,,,"Same names are uttered over drinking cups and given to a woman; effect is erotic attraction. Second use is explicit anaphoric reuse ('when you utter them'), not a second full reprinting.",SRC-NYU-PGMVII619
F02_ABRASAX,Greek Magical Papyri,F02-A,PGM VII.201-202,ABRASAX,NAME,TRANSLATION_LEVEL,HIGH,PROTECTION_APOTROPAIC,,,,,,,,,,,,,,,,,,,,,"Written on scarlet parchment and applied as a plaster for migraine; graphic deployment, no vocal execution prescribed.",SRC-BETZ-PDF
F02_ABRASAX,Greek Magical Papyri,F02-B,PGM LXIX.1-3,ABRASAX,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,1,,,,,,,,1,,7,,Strength spell: formula containing ABRASAX is said seven times while holding both thumbs.,SRC-ECL-I
F02_ABRASAX,Greek Magical Papyri,F02-C,PGM LXXIX.1-7,ABRASAX,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,,,,,3,,"Charm to restrain anger, explicitly spoken three times.",SRC-BETZ-LXXIX
F02_ABRASAX,Greek Magical Papyri,F02-D,PGM LXXX.1-5,ABRASAX,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,,,,,3,,"Same anger-restraint text as PGM LXXIX, transmitted by another scribe; spoken three times. Null/stability candidate.",SRC-BETZ-LXXIX
F03_SABAOTH,Greek Magical Papyri,F03-A,PGM VII.211-212,SABAOTH,NAME,TRANSLATION_LEVEL,HIGH,PROTECTION_APOTROPAIC,,,,,,,,,1,,,,,,,,,,7,,For fever with shivering fits: say SABAOTH seven times; oil is then spread from sacrum to feet.,SRC-BETZ-PDF
F03_SABAOTH,Greek Magical Papyri,F03-B,PGM VII.218-221,SABAOTH,NAME,TRANSLATION_LEVEL,HIGH,PROTECTION_APOTROPAIC,,,,,,,,,,,,,,,,,,,,,Part of a written fever/shivering amulet. Same broad function as F03-A but graphic rather than repeated vocal deployment.,SRC-BAS-PGMVII218
F03_SABAOTH,Greek Magical Papyri,F03-C,PGM III.71-85,SABAOTH,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Part of spoken conjuration commanding a powerful angel/cat-faced power to perform the requested deed.,SRC-BETZ-PGMIII
F03_SABAOTH,Greek Magical Papyri,F03-D,PGM XII.270-350,SABAOTH,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,,,,,,,1,,1,,,,Consecration invocation is spoken at dawn facing the sun while holding the stone.,SRC-YUMPU-XII270
F04_IAO,Greek Magical Papyri,F04-A,PGM V.24-30,IAO,NAME,TRANSLATION_LEVEL,HIGH,REVELATION_VISION,,,,,,,,,,,,,,,1,,,,,,"Pronunciation instruction: IAO is projected to earth, air, and heaven in an oracle procedure.",SRC-HERMETIC-PGMV
F04_IAO,Greek Magical Papyri,F04-B,PGM VII.619-627,IAO,NAME,PRIMARY_SECURE,HIGH,PROTECTION_APOTROPAIC,,,,,,,,,,,,,,,,,,,,,IAO occurs inside the Diadem name-sequence used for invisibility after rising before speaking to anyone.,SRC-NYU-PGMVII619
F04_IAO,Greek Magical Papyri,F04-C,PGM VII.969-972,IAO,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,IAO occurs in a formula written on papyrus for a love potion; graphic deployment.,SRC-ECL-III
F04_IAO,Greek Magical Papyri,F04-D,PGM III.71-85,IAO,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Part of the spoken cat/angel conjuration.,SRC-BETZ-PGMIII
F04_IAO,Greek Magical Papyri,F04-E,PGM XII.270-350,IAO,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,,,,,,,1,,1,,,,Invocation spoken at dawn facing sun while holding consecrated stone.,SRC-YUMPU-XII270
F05_ADONAI,Greek Magical Papyri,F05-A,PGM III.71-85,ADONAI,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Part of spoken conjuration of an angelic/chthonic power.,SRC-BETZ-PGMIII
F05_ADONAI,Greek Magical Papyri,F05-B,PGM VII.619-627,ADONAI,NAME,PRIMARY_SECURE,HIGH,PROTECTION_APOTROPAIC,,,,,,,,,,,,,,,,,,,,,Occurs in Diadem name-sequence prescribed for invisibility.,SRC-NYU-PGMVII619
F05_ADONAI,Greek Magical Papyri,F05-C,PGM VII.643-651,ADONAI,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,1,,,,7,,Contained in compulsion formula of the cup spell; the spell is said to the cup seven times.,SRC-ECL-III
F05_ADONAI,Greek Magical Papyri,F05-D,PGM XII.270-350,ADONAI,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,,,,,,,1,,1,,,,Consecration invocation spoken facing the sun while holding the stone.,SRC-YUMPU-XII270
F06_ABLANATHANALBA,Greek Magical Papyri,F06-B,PGM III.71-85,ABLANATHANALBA,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Spoken in the main conjuration of the same rite.,SRC-BETZ-PGMIII
F06_ABLANATHANALBA,Greek Magical Papyri,F06-C,PGM VII.643-651,ABLANATHANALBA,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,1,,,,7,,Part of the cup spell/compulsion formula spoken to the cup seven times.,SRC-ECL-III
F06_ABLANATHANALBA,Greek Magical Papyri,F06-D,PGM IV.930-1114,ABLANATHANALBA,NAME,TRANSLATION_LEVEL,HIGH,REVELATION_VISION,,,,,,,,,,,,,,,,,,,,,Occurs in the light-retaining/light-bringing formula used during a visionary procedure.,SRC-PGMIV-LIGHT
F06_ABLANATHANALBA,Greek Magical Papyri,F06-E,PGM XII.182-189,ABLANATHANALBA,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,,,,,,,,,,,,,Occurs in prayer/spell for assertiveness and favor.,SRC-ECL-I
F07_AKRAMMACHAMAREI,Greek Magical Papyri,F07-A,PGM VII.643-651,AKRAMMACHAMAREI,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,1,,,,7,,"Part of compulsion formula in cup spell, spoken to cup seven times.",SRC-ECL-III
F07_AKRAMMACHAMAREI,Greek Magical Papyri,F07-B,PGM VII.1017-1026,AKRAMMACHAMAREI,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,,,,,,,,,,,,,"Invoked for victory/success together with Sabaoth, IAO and Ablanathanalba.",SRC-BETZ-VIII-PDF
F07_AKRAMMACHAMAREI,Greek Magical Papyri,F07-C,PGM XII.182-189,AKRAMMACHAMAREI,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,,,,,,,,,,,,,Occurs in assertiveness/favor prayer.,SRC-ECL-I
F07_AKRAMMACHAMAREI,Greek Magical Papyri,F07-D,PGM IV.930-1114,AKRAMMACHAMAREI,NAME,TRANSLATION_LEVEL,HIGH,REVELATION_VISION,,,,,,,,,,,,,,,,,,,,,Occurs in light-retaining formula for divine revelation/vision.,SRC-PGMIV-LIGHT
F08_SESENGENBARPHARANGES,Greek Magical Papyri,F08-A,PGM III.71-85,SESENGENBARPHARANGES,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Part of spoken conjuration commanding the cat-faced/chthonic power.,SRC-BETZ-PGMIII
F08_SESENGENBARPHARANGES,Greek Magical Papyri,F08-B,PGM IV.930-1114,SESENGENBARPHARANGES,NAME,TRANSLATION_LEVEL,HIGH,REVELATION_VISION,,,,,,,,,,,,,,,,,,,,,Occurs in the light-retaining charm used in a revelatory procedure.,SRC-PGMIV-LIGHT
F09_DAMNAMENEU,Greek Magical Papyri,F09-A,PGM III.71-85,DAMNAMENEU,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Occurs in main conjuration formula.,SRC-BETZ-PGMIII
F09_DAMNAMENEU,Greek Magical Papyri,F09-B,PGM III.99-104,DAMNAMENEU,NAME,TRANSLATION_LEVEL,HIGH,REVELATION_VISION,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,Same formula/name recurs when the practitioner halts the sacred boat in order to converse with sacred Helios.,SRC-PEARSE-MITHRAS
F09_DAMNAMENEU,Greek Magical Papyri,F09-C,PGM XII.270-350,DAMNAMENEU,NAME,TRANSLATION_LEVEL,HIGH,GENERIC_RITUAL_EFFECT,,,,,,,,,1,,,,,,1,,1,,3,,Inside consecration invocation performed three times per day while facing the sun and holding the stone.,SRC-YUMPU-XII270
F10_MICHAEL,Greek Magical Papyri,F10-A,PGM LXXIX.1-7,MICHAEL,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,,,,,3,,Anger-restraint charm spoken three times.,SRC-BETZ-LXXIX
F10_MICHAEL,Greek Magical Papyri,F10-B,PGM LXXX.1-5,MICHAEL,NAME,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,,,,,3,,"Same charm in another scribal witness, spoken three times. Null/stability candidate.",SRC-BETZ-LXXIX
F11_IAO_SABAOTH_ADONAI_ABRASAX,Greek Magical Papyri,F11-A,PGM III.71-85,IAO SABAOTH ADONAI ABRASAX,FORMULA_SEQUENCE,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,,,,,,,,,,,,,Exact four-name sequence appears in spoken conjuration.,SRC-BETZ-PGMIII
F11_IAO_SABAOTH_ADONAI_ABRASAX,Greek Magical Papyri,F11-B,PGM VII.643-651,IAO SABAOTH ADONAI ABRASAX,FORMULA_SEQUENCE,TRANSLATION_LEVEL,HIGH,CONTROL_SUBJECTION,,,,,,,,,1,,,,,,1,,,,7,,Exact four-name sequence appears at end of cup-compulsion formula; spell is spoken to cup seven times.,SRC-ECL-III
F12_TOTROSIAY_YHWH,Hekhalot Rabbati,F12-A,HR 16 / Synopse §§204-205,TWTRWSYAY YHWH,THEONYM,PRIMARY_SECURE,HIGH,ASCENT_PASSAGE,CONTROL_SUBJECTION,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,112,0,The theonym is adjured exactly 112 times; the mouth emits the names while fingers count. The text says the practitioner then descends/masters the Merkavah. Exact Hebrew witness available.,SRC-HR-SYNOPSE
